Ticker,InvName,B3Name,nosName
BBRC11,FII BB CORP,FII BB CORP CI,FIIBBCORPCI
BPFF11,FII ABSOLUTO,FII ABSOLUTOCI,FIIABSOLUTOCI
BRCR11,FII BC FUND,FII BC FUND CI,FIIBCFUNDCI
CTXT11,FII C TEXTIL,FII C TEXTILCI,FIICTEXTILCI
CXTL11,FII CX TRX,FII CX TRX CI,FIICXTRXCI
EURO11,FII EUROPAR,FII EUROPAR CI,FIIEUROPARCI
RCRB11,FII Rio Bravo Renda Corporativa,FII RIOB RC CI,FIIRIOBRCCI
FIGS11,FII GEN SHOP,FII GEN SHOPCI,FIIGENSHOPCI
FLMA11,FII S F LIMA,FII S F LIMACI,FIISFLIMACI
FPAB11,FII A BRANCA,FII A BRANCACI,FIIABRANCACI
HMOC11,FII GWI RI,FII HEDMOCA CI,FIIHEDMOCACI
HGCR11,FII CSHG CRI,FII CSHG CRICI,FIICSHGCRICI
HGLG11,FII CSHG LOG,FII CSHG LOGCI,FIICSHGLOGCI
HGRE11,FII HG REAL,FII HG REAL CI,FIIHGREALCI
JSRE11,FII JS REAL,FII JS REAL CI,FIIJSREALCI
KNCR11,FII KINEA RI,FII KINEA RICI,FIIKINEARICI
KNRE11,FII KII REAL,FII KII REALCI,FIIKIIREALCI
KNRI11,FII KINEA,FII KINEA CI,FIIKINEACI
MXRF11,FII MAXI REN,FII MAXI RENCI,FIIMAXIRENCI
ONEF11,FII THE ONE,FII THE ONE CI,FIITHEONECI
PQDP11,FII D PEDRO,FII D PEDRO CI,FIIDPEDROCI
PRSV11,FII P VARGAS,FII P VARGASCI,FIIPVARGASCI
RBBV11,FII JHSF FBV,FII JHSF FBVCI,FIIJHSFFBVCI
RBGS11,FII RB GSB I,FII RB GSB ICI,FIIRBGSBICI
RBRD11,FII RB II,FII RB II CI,FIIRBIICI
RBVO11,FII RIOBCRI2,FII RIOBCRI2CI,FIIRIOBCRI2CI
RNDP11,FII BB R PAP,FII BB R PAPCI,FIIBBRPAPCI
RNGO11,FII RIONEGRO,FII RIONEGROCI,FIIRIONEGROCI
SDIL11,FII SDI LOG,FII SDI LOG CI,FIISDILOGCI
SHPH11,FII HIGIENOP,FII HIGIENOPCI,FIIHIGIENOPCI
SPTW11,FII SP DOWNT,FII SP DOWNTCI,FIISPDOWNTCI
TBOF11,FII TBOFFICE,FII TBOFFICECI,FIITBOFFICECI
VLOL11,FII OLIMPIA,FII OLIMPIA CI,FIIOLIMPIACI
VRTA11,FII FATOR VE,FII FATOR VECI,FIIFATORVECI
XPCM11,FII XP MACAE,FII XP MACAECI,FIIXPMACAECI
